<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20250317,000000,1.08821,1.08846,1.08815,1.08844,0,0
EURUSD,5,20250317,000500,1.08844,1.08854,1.08831,1.08832,0,0
EURUSD,5,20250317,001000,1.08832,1.08835,1.08826,1.08832,0,0
EURUSD,5,20250317,001500,1.0883,1.08844,1.08816,1.08838,0,0
EURUSD,5,20250317,002000,1.08839,1.08848,1.08838,1.0884,0,0
EURUSD,5,20250317,002500,1.0884,1.0885,1.08835,1.08835,0,0
EURUSD,5,20250317,003000,1.08835,1.08843,1.0883,1.08833,0,0
EURUSD,5,20250317,003500,1.08834,1.08834,1.08818,1.08833,0,0
EURUSD,5,20250317,004000,1.08835,1.08838,1.08808,1.08838,0,0
EURUSD,5,20250317,004500,1.08839,1.08839,1.08817,1.08827,0,0
EURUSD,5,20250317,005000,1.08827,1.08829,1.08815,1.08826,0,0
EURUSD,5,20250317,005500,1.08826,1.08826,1.08794,1.08798,0,0
EURUSD,5,20250317,010000,1.08798,1.08829,1.08798,1.08811,0,0
EURUSD,5,20250317,010500,1.08811,1.08812,1.08799,1.08808,0,0
EURUSD,5,20250317,011000,1.08808,1.08817,1.08783,1.08787,0,0
EURUSD,5,20250317,011500,1.08786,1.08787,1.0876,1.08772,0,0
EURUSD,5,20250317,012000,1.08772,1.08784,1.08767,1.08783,0,0
EURUSD,5,20250317,012500,1.08785,1.08798,1.0878,1.08797,0,0
EURUSD,5,20250317,013000,1.08797,1.08803,1.08792,1.08796,0,0
EURUSD,5,20250317,013500,1.08796,1.08799,1.08789,1.0879,0,0
EURUSD,5,20250317,014000,1.08786,1.08792,1.08762,1.08769,0,0
EURUSD,5,20250317,014500,1.08768,1.08771,1.08762,1.08767,0,0
EURUSD,5,20250317,015000,1.08767,1.0879,1.08758,1.08784,0,0
EURUSD,5,20250317,015500,1.08788,1.08828,1.08788,1.08798,0,0
EURUSD,5,20250317,020000,1.08796,1.088,1.08757,1.08757,0,0
EURUSD,5,20250317,020500,1.08758,1.08775,1.08745,1.08773,0,0
EURUSD,5,20250317,021000,1.08769,1.08787,1.08765,1.08768,0,0
EURUSD,5,20250317,021500,1.0876,1.08776,1.08757,1.08771,0,0
EURUSD,5,20250317,022000,1.08771,1.08807,1.08771,1.08807,0,0
EURUSD,5,20250317,022500,1.08811,1.08822,1.08797,1.08808,0,0
EURUSD,5,20250317,023000,1.08808,1.08808,1.08786,1.08794,0,0
EURUSD,5,20250317,023500,1.08796,1.08818,1.08796,1.08818,0,0
EURUSD,5,20250317,024000,1.08818,1.08871,1.08818,1.08871,0,0
EURUSD,5,20250317,024500,1.08868,1.08904,1.08855,1.08867,0,0
EURUSD,5,20250317,025000,1.08867,1.08896,1.08864,1.0888,0,0
EURUSD,5,20250317,025500,1.08879,1.08879,1.0883,1.0883,0,0
EURUSD,5,20250317,030000,1.08828,1.08858,1.08826,1.08828,0,0
EURUSD,5,20250317,030500,1.08827,1.08827,1.08814,1.08815,0,0
EURUSD,5,20250317,031000,1.08815,1.08815,1.08796,1.08807,0,0
EURUSD,5,20250317,031500,1.08809,1.08834,1.08807,1.08832,0,0
EURUSD,5,20250317,032000,1.08833,1.0884,1.08825,1.08827,0,0
EURUSD,5,20250317,032500,1.08827,1.08832,1.08818,1.0883,0,0
EURUSD,5,20250317,033000,1.0883,1.08839,1.08814,1.0882,0,0
EURUSD,5,20250317,033500,1.08819,1.08823,1.08814,1.08819,0,0
EURUSD,5,20250317,034000,1.08818,1.08821,1.08806,1.08814,0,0
EURUSD,5,20250317,034500,1.08817,1.08824,1.08814,1.08816,0,0
EURUSD,5,20250317,035000,1.08819,1.0882,1.08807,1.08812,0,0
EURUSD,5,20250317,035500,1.08812,1.08844,1.0881,1.08818,0,0
EURUSD,5,20250317,040000,1.08814,1.08829,1.08797,1.08801,0,0
EURUSD,5,20250317,040500,1.08806,1.08811,1.08799,1.08803,0,0
EURUSD,5,20250317,041000,1.08804,1.08825,1.08799,1.08821,0,0
EURUSD,5,20250317,041500,1.08825,1.08841,1.08795,1.088,0,0
EURUSD,5,20250317,042000,1.088,1.088,1.0877,1.08773,0,0
EURUSD,5,20250317,042500,1.08785,1.08799,1.08784,1.08797,0,0
EURUSD,5,20250317,043000,1.08795,1.08805,1.08794,1.08805,0,0
EURUSD,5,20250317,043500,1.08803,1.08844,1.08803,1.08844,0,0
EURUSD,5,20250317,044000,1.08843,1.08859,1.08843,1.08848,0,0
EURUSD,5,20250317,044500,1.08848,1.08864,1.08847,1.08847,0,0
EURUSD,5,20250317,045000,1.08847,1.08847,1.08821,1.08823,0,0
EURUSD,5,20250317,045500,1.08824,1.08842,1.08823,1.08835,0,0
EURUSD,5,20250317,050000,1.08837,1.08893,1.08837,1.08883,0,0
EURUSD,5,20250317,050500,1.08884,1.08938,1.08823,1.08823,0,0
EURUSD,5,20250317,051000,1.08818,1.08828,1.08798,1.08798,0,0
EURUSD,5,20250317,051500,1.08788,1.08808,1.08779,1.08791,0,0
EURUSD,5,20250317,052000,1.08801,1.08843,1.08801,1.0882,0,0
EURUSD,5,20250317,052500,1.08817,1.08825,1.08806,1.08825,0,0
EURUSD,5,20250317,053000,1.08825,1.08847,1.08825,1.08841,0,0
EURUSD,5,20250317,053500,1.08841,1.08843,1.0883,1.08831,0,0
EURUSD,5,20250317,054000,1.0883,1.0884,1.08822,1.08829,0,0
EURUSD,5,20250317,054500,1.0883,1.08836,1.08824,1.08831,0,0
EURUSD,5,20250317,055000,1.0883,1.08845,1.08825,1.0883,0,0
EURUSD,5,20250317,055500,1.0883,1.08832,1.08814,1.08823,0,0
EURUSD,5,20250317,060000,1.08823,1.08824,1.08792,1.08792,0,0
EURUSD,5,20250317,060500,1.08793,1.08798,1.08774,1.08782,0,0
EURUSD,5,20250317,061000,1.08782,1.08788,1.08774,1.08774,0,0
EURUSD,5,20250317,061500,1.08774,1.08798,1.08774,1.08782,0,0
EURUSD,5,20250317,062000,1.08786,1.0879,1.0876,1.08784,0,0
EURUSD,5,20250317,062500,1.08783,1.08793,1.08775,1.08775,0,0
EURUSD,5,20250317,063000,1.08778,1.08788,1.08759,1.08765,0,0
EURUSD,5,20250317,063500,1.08765,1.08765,1.0874,1.08759,0,0
EURUSD,5,20250317,064000,1.08757,1.08793,1.08751,1.08775,0,0
EURUSD,5,20250317,064500,1.08775,1.08786,1.0877,1.08786,0,0
EURUSD,5,20250317,065000,1.08786,1.0879,1.0877,1.08773,0,0
EURUSD,5,20250317,065500,1.08773,1.08789,1.08771,1.08775,0,0
EURUSD,5,20250317,070000,1.08778,1.08807,1.08778,1.0878,0,0
EURUSD,5,20250317,070500,1.0878,1.08781,1.08756,1.08767,0,0
EURUSD,5,20250317,071000,1.08776,1.08822,1.08774,1.08818,0,0
EURUSD,5,20250317,071500,1.0882,1.08822,1.08792,1.08812,0,0
EURUSD,5,20250317,072000,1.0881,1.08839,1.08802,1.08839,0,0
EURUSD,5,20250317,072500,1.08837,1.08839,1.08801,1.08811,0,0
EURUSD,5,20250317,073000,1.08807,1.08845,1.088,1.08827,0,0
EURUSD,5,20250317,073500,1.08827,1.08843,1.08827,1.0884,0,0
EURUSD,5,20250317,074000,1.08839,1.08845,1.08816,1.08817,0,0
EURUSD,5,20250317,074500,1.08813,1.08815,1.088,1.08804,0,0
EURUSD,5,20250317,075000,1.08805,1.08809,1.08736,1.0875,0,0
EURUSD,5,20250317,075500,1.08749,1.08779,1.08739,1.08779,0,0
EURUSD,5,20250317,080000,1.08777,1.08822,1.08777,1.08798,0,0
