<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250317,000000,2989.135,2989.485,2988.545,2989.485,0,0
XAUUSD,5,20250317,000500,2989.495,2990.205,2988.835,2989.865,0,0
XAUUSD,5,20250317,001000,2989.735,2990.935,2989.735,2990.935,0,0
XAUUSD,5,20250317,001500,2990.895,2991.835,2990.895,2991.745,0,0
XAUUSD,5,20250317,002000,2991.665,2993.165,2991.665,2992.865,0,0
XAUUSD,5,20250317,002500,2992.845,2994.005,2992.655,2993.775,0,0
XAUUSD,5,20250317,003000,2994.105,2994.205,2993.005,2993.115,0,0
XAUUSD,5,20250317,003500,2993.125,2993.195,2991.515,2991.945,0,0
XAUUSD,5,20250317,004000,2991.955,2992.175,2991.525,2992.165,0,0
XAUUSD,5,20250317,004500,2991.645,2992.295,2991.395,2991.655,0,0
XAUUSD,5,20250317,005000,2992.015,2992.015,2991.175,2991.265,0,0
XAUUSD,5,20250317,005500,2991.255,2991.835,2989.695,2990.165,0,0
XAUUSD,5,20250317,010000,2990.16,2990.665,2988.855,2989.815,0,0
XAUUSD,5,20250317,010500,2989.765,2990.235,2989.035,2989.805,0,0
XAUUSD,5,20250317,011000,2989.705,2989.825,2988.455,2988.455,0,0
XAUUSD,5,20250317,011500,2988.385,2988.835,2986.545,2987.675,0,0
XAUUSD,5,20250317,012000,2987.895,2989.205,2987.895,2988.415,0,0
XAUUSD,5,20250317,012500,2988.525,2989.435,2987.245,2989.405,0,0
XAUUSD,5,20250317,013000,2989.415,2991.005,2989.165,2990.365,0,0
XAUUSD,5,20250317,013500,2990.345,2990.415,2989.305,2989.625,0,0
XAUUSD,5,20250317,014000,2989.585,2990.135,2988.505,2989.575,0,0
XAUUSD,5,20250317,014500,2989.605,2989.765,2989.155,2989.555,0,0
XAUUSD,5,20250317,015000,2989.555,2989.655,2988.625,2989.655,0,0
XAUUSD,5,20250317,015500,2989.705,2991.055,2989.705,2990.995,0,0
XAUUSD,5,20250317,020000,2990.84,2992.825,2990.025,2990.025,0,0
XAUUSD,5,20250317,020500,2990.075,2991.995,2988.855,2991.595,0,0
XAUUSD,5,20250317,021000,2991.565,2992.645,2991.005,2991.105,0,0
XAUUSD,5,20250317,021500,2990.715,2991.135,2989.915,2990.555,0,0
XAUUSD,5,20250317,022000,2990.395,2993.125,2989.615,2992.965,0,0
XAUUSD,5,20250317,022500,2992.905,2992.935,2991.095,2991.965,0,0
XAUUSD,5,20250317,023000,2991.955,2992.125,2990.565,2991.275,0,0
XAUUSD,5,20250317,023500,2991.455,2992.215,2990.565,2991.345,0,0
XAUUSD,5,20250317,024000,2991.285,2991.975,2991.285,2991.735,0,0
XAUUSD,5,20250317,024500,2991.665,2992.215,2991.435,2991.835,0,0
XAUUSD,5,20250317,025000,2991.825,2992.955,2991.535,2991.865,0,0
XAUUSD,5,20250317,025500,2991.865,2991.865,2990.815,2990.925,0,0
XAUUSD,5,20250317,030000,2990.93,2992.075,2990.485,2990.955,0,0
XAUUSD,5,20250317,030500,2991.075,2991.175,2989.955,2990.085,0,0
XAUUSD,5,20250317,031000,2990.125,2990.215,2989.305,2989.685,0,0
XAUUSD,5,20250317,031500,2989.705,2989.845,2989.025,2989.025,0,0
XAUUSD,5,20250317,032000,2989.415,2989.415,2988.355,2988.945,0,0
XAUUSD,5,20250317,032500,2988.945,2989.095,2988.445,2988.845,0,0
XAUUSD,5,20250317,033000,2988.775,2988.775,2987.675,2988.305,0,0
XAUUSD,5,20250317,033500,2988.075,2988.305,2987.625,2988.155,0,0
XAUUSD,5,20250317,034000,2988.035,2988.595,2987.155,2988.375,0,0
XAUUSD,5,20250317,034500,2988.385,2988.885,2987.545,2987.795,0,0
XAUUSD,5,20250317,035000,2987.745,2988.135,2987.085,2988.125,0,0
XAUUSD,5,20250317,035500,2988.215,2988.365,2987.795,2988.125,0,0
XAUUSD,5,20250317,040000,2988.31,2988.545,2986.765,2986.805,0,0
XAUUSD,5,20250317,040500,2987.095,2987.285,2986.495,2986.925,0,0
XAUUSD,5,20250317,041000,2986.805,2987.635,2986.285,2987.345,0,0
